Transaction Description,Type,Category,Amount ($)
Payment to shell oil,Expense,Transportation,343.4
Received stock dividend,Income,Investments,8156.35
PUrChaSe at mynTRa,Expense,Shopping,439.52
bank refund deposit received,Income,Refunds,9492.07
investment return deposit received,Income,Interest/Dividends,1090.54
custom9er payment deposit received,Income,Business Revenue,9485.07
meijer transaction,Expense,Groceries,666.38
Purchase at aldi,Expense,Groceries,329.14
Income via fd interest,Income,Interest/Dividends,3038.08
festival bonus deposit received,Income,Gift/Bonus,9424.04
gym membership monthly bill,Expense,Health & Medical,510.75
Inco#me via bank interest,Income,Interest/Dividends,256.17
Credited from company payroll,Income,Salary,4196.83
property lease payment deposit received,Income,Rent Income,2466.66
Credited from mutual fund pro6fit,Income,Investments,8953.13
Credited from credit card cashback,Income,Refunds,1860.19
Bank credit from mutual fund profit,Income,Investments,464.18
disney plus transaction,Expense,Subscriptions,652.06
Paid target via card,Expense,Shopping,221.71
Bank credit from bank refund,Income,Refunds,8049.89
Domino'S PiZzA ChaRgE,Expense,Restaurants,260.28
Purchase at airbnb,Expense,Travel,778.65
safeway monthly bill,Expense,Groceries,528.73
target charge,Expense,Shopping,11.52
meijer - order #95627,Expense,Groceries,498.68
mcdonald charge,Expense,Restaurants,264.51
Received contract proj4ect payment,Income,Freelance,7625.31
Payment to cvs pharmacy,Expense,Health & Medical,579.52
Paid macys via card,Expense,Shopping,392.3
publix monthly bill,Expense,Groceries,748.25
Paid makemytrip via card,Expense,Travel,348.5
Received nse eturn,Income,Investments,141.9
disneY PlUS ChArgE,Expense,Subscriptions,151.96
dividend credit credited to account,Income,Interest/Dividends,4788.84
shop revenue credited to account,Income,Business Revenue,7109.7
Received stock dividend,Income,Investments,1661.02
Credited from store deposit,Income,Business Revenue,6859.1
Received property lease payment,Income,Rent Income,2339.72
Paid parking garage via card,Expense,Transportation,146.96
Income via bank refund,Income,Refunds,5667.92
Credited from nse return,Income,Investments,2821.66
monthly salary credited to account,Income,Salary,5002.64
paypal refund credited to account,Income,Refunds,939.94
Payment to gym members3hip,Expense,Health & Medical,769.0
burger king - order #3966,Expense,Restaurants,708.84
Payment received: bank interest,Income,Interest/Dividends,7557.25
Income via mutual fund profit,Income,Investments,790.71
freelance gig credited to account,Income,Freelance,5664.66
bOoKING.cOM mONtHLY bIll,Expense,Travel,629.0
target charge,Expense,Shopping,415.72
ikea -6 order #6260,Expense,Shopping,23.88
banK inTeResT CredITeD To acCount,Income,Interest/Dividends,4117.02
Youtube premiUm transactIOn,Expense,Subscriptions,954.32
Credited from holiday reward,Income,Gift/Bonus,3095.85
PAyMent ReceiVed: PeRfOrmAnCE bonus,Income,Gift/Bonus,9323.95
property lease payment deposit received,Income,Rent Income,9562.15
Income via fd interest,Income,Interest/Dividends,1444.19
Payment received: share sale profit,Income,Investments,2908.53
Credited from b2b invoice payment,Income,Business Revenue,6957.52
Bank credit from client transfer,Income,Freelance,1751.44
Income via share sale profit,Income,Investments,2035.25
Purchase at tripadvisor,Expense,Travel,403.73
walmart charge,Expense,Shopping,610.58
bp gas monthly bill,Expense,Transportation,607.32
stock dividend credited to account,Income,Investments,6099.11
netflix monthly bill,Expense,Subscriptions,789.63
indio monthly bill,Expense,Travel,254.97
Payme0nt to aldi,Expense,Groceries,509.86
Payment received: share sale profit,Income,Investments,5824.69
Paid hUl9u Via card,Expense,Subscriptions,236.55
Bank credit from credit card cashback,Income,Refunds,371.47
INcome viA PerforMnce BOnus,Income,Gift/Bonus,2552.29
Paym#ent to publix,Expense,Groceries,252.65
Payment received: monthly salary,Income,Salary,3123.26
hospital transaction,Expense,Health & Medical,48.4
Payment to indigo,Expense,Travel,421.12
Paid best buy via card,Expense,Shopping,53.94
Credited from share sale profit,Income,Investments,7265.76
Bank credit from amazon refund,Income,Refunds,1593.04
Income via house rent,Income,Rent Income,5520.45
Purchase at burger king,Expense,Restaurants,231.64
Paid uberea#ts via card,Expense,Restaurants,43.21
Paid kfc via card,Expense,Restaurants,392.18
monthly salary deposit received,Income,Salary,2800.03
Payment to chev9ron,Expense,Transportation,283.29
Payment to walmart,Expense,Shopping,643.5
company payroll deposit received,Income,Salary,859.06
safewaY Charge,Expense,Groceries,290.46
Credited from fd interest,Income,Interest/Dividends,5571.42
starbucks monthly bill,Expense,Restaurants,505.33
publix transaction,Expense,Groceries,28.21
costco - order #9453,Expense,Groceries,76.47
Payment To cIty Water,Expense,Utilities,61.27
ReceIved CASh prizE,Income,Gift/Bonus,1423.21
airbnb charge,Expense,Travel,637.68
PAyMENt to walmaRt,Expense,Shopping,455.21
Payment received: corporate payment,Income,Salary,6698.22
Income via online sale,Income,Business Revenue,6872.29
ebay monthly bill,Expense,Shopping,352.5
pg&e bill MoNthLY bill,Expense,Utilities,936.76
walgreens r5ansaction,Expense,Health & Medical,23.98
Payment to ber tRIp,Expense,Transportation,476.02
domino's1 pizza monthly bill,Expense,Restaurants,934.02
crypto gain deposit received,Income,Investments,4829.13
Payment to burger king,Expense,Restaurants,327.24
Purchase at publix,Expense,Groceries,298.92
ReceivEd bank interesT,Income,Interest/Dividends,9194.46
ubereats - order 7#6921,Expense,Restaurants,668.12
7Bank credit from cash prize,Income,Gift/Bonus,2326.2
TargeT cHaRgE,Expense,Shopping,407.62
Received bank iterest,Income,Interest/Dividends,8408.87
Paid gym membership via card,Expense,Health & Medical,662.99
P7aid oyo rooms via card,Expense,Travel,496.13
crypto gain d7eposit received,Income,Investments,7617.99
walgreen1s monthly bill,Expense,Health & Medical,927.36
Payment received: company payroll,Income,Salary,7513.79
burger king transaction,Expense,Restaurants,93.87
Paid airbnb via card,Expense,Travel,664.41
INcomE via store deposit,Income,Business Revenue,5045.89
company payroll credited to account,Income,Salary,1033.72
Purchase at electric co-op,Expense,Utilities,653.73
spotify - order #1625,Expense,Subscriptions,734.76
company payroll deposit received,Income,Salary,9122.89
housE Rent crediteD TO acCoUnT,Income,Rent Income,6571.65
myntra charge,Expense,Shopping,618.11
CrediTed fROM FREelance giG,Income,Freelance,886.64
office lease income credited to account,Income,Rent Income,7028.08
PayMEnt rEceiveD: fd InTerest,Income,Interest/Dividends,4363.37
Received online sale,Income,Business Revenue,1265.75
fiverr payment credited to account,Income,Freelance,1975.84
flipkart charge,Expense,Shopping,542.47
Income via upwork payout,Income,Freelance,9862.69
RecEivED storE dePosIt,Income,Business Revenue,9266.9
PAyment To eBay,Expense,Shopping,369.59
urgent care transaction,Expense,Health & Medical,387.41
Payment to oyo rooms,Expense,Travel,343.57
Income via crypto gain,Income,Investments,9361.8
salary from google credited to account,Income,Salary,9088.88
Income via b2b invoice payment,Income,Business Revenue,995.85
Income viA fD iNTERESt,Income,Interest/Dividends,4134.37
cheron charge,Expense,Transportation,129.02
domino's pizza monthly bill,Expense,Restaurants,578.02
PaId SpEcTrUm ViA caRd,Expense,Utilities,480.47
INcomE Via CLient transFeR,Income,Freelance,3908.42
Purchase at ikea,Expense,Shopping,348.15
disney plus charge,Expense,Subscriptions,271.45
Payment to chevron,Expense,Transportation,659.15
ReceIved ofFiCe LeasE Income,Income,Rent Income,8027.14
Received tenant payment,Income,Rent Income,3537.42
walmart monthly bill,Expense,Shopping,190.59
Payment received: salary from google,Income,Salary,8895.67
pubLiX monThly bILl,Expense,Groceries,880.94
paypal refund deposit receive3d,Income,Refunds,514.05
WaLgrEenS CHargE,Expense,Health & Medical,653.8
hospital monthly bill,Expense,Health & Medical,601.08
Income via client transfer,Income,Freelance,4770.76
PaymenT to CoSTco,Expense,Groceries,965.01
Bank credit from house rent,Income,Rent Income,5054.96
Paid indigo via card,Expense,Travel,700.74
Payment received: store return refund,Income,Refunds,6084.12
Received store deposit,Income,Business Revenue,5509.83
Received tenant payment,Income,Rent Income,9919.66
tripadvisor transaction,Expense,Travel,406.68
Purchase at pg&e bill,Expense,Utilities,809.62
upwork payout deposit received,Income,Freelance,3295.43
Received crypto gain,Income,Investments,6780.19
Payment to amazon.com,Expense,Shopping,791.77
Credited from company payroll,Income,Salary,5452.79
Received tenant payment,Income,Rent Income,788.51
Payment to spotify,Expense,Subscriptions,213.92
Income via shop revenue,Income,Business Revenue,5822.4
Credited from company payroll,Income,Salary,9161.9
Purcase at lyft ride,Expense,Transportation,125.48
metro ticket monthly bill,Expense,Transportation,614.67
bank refund credited to account,Income,Refunds,8909.25
SUbway chaRGe,Expense,Restaurants,939.59
store deposit deposit received,Income,Business Revenue,9346.44
birthday gift money credited to account,Income,Gift/Bonus,2720.12
Purchase at pg&e bill,Expense,Utilities,131.23
PurChAse at triPadvisor,Expense,Travel,71.7
Received store return refund,Income,Refunds,233.29
Purchase at gym membership,Expense,Health & Medical,79.91
Purchase at disney plus,Expense,Subscriptions,217.78
Payment to oyo rooms,Expense,Travel,144.72
BaNk credit froM Salary froM GooGle,Income,Salary,4050.03
Payment received: birthday gift money,Income,Gift/Bonus,4016.11
Paymen6t to lyft ride,Expense,Transportation,969.69
shop revenue deposit received,Income,Business Revenue,1180.41
booking.com transaction,Expense,Travel,202.05
PuRchASe at krOGer,Expense,Groceries,831.66
Bank credit 1from bank interest,Income,Interest/Dividends,9891.17
Hulu - orDer #1125,Expense,Subscriptions,262.18
Payment received: company payroll,Income,Salary,6153.97
h1ospital monthly bill,Expense,Health & Medical,18.58
airbnb monthly bill,Expense,Travel,431.74
metro ticket charge,Expense,Transportation,631.9
Income via nse return,Income,Investments,7581.96
cvs pharmacy charge,Expense,Health & Medical,11.97
t-mobile - order #6470,Expense,Utilities,891.24
Purchase at target,Expense,Shopping,576.0
Paid hoSpital vIa card,Expense,Health & Medical,219.12
myNtra - order #5657,Expense,Shopping,392.38
Income via credit card cashback,Income,Refunds,2528.94
spectrum - orde3r #5173,Expense,Utilities,955.83
RecEIvED OFFIce paYCheck,Income,Salary,2072.53
b2b invoice payment credited to account,Income,Business Revenue,290.56
Bank credit from store deposit,Income,Business Revenue,4049.85
urgent care monthly bill,Expense,Health & Medical,175.12
bank interest credited to 8account,Income,Interest/Dividends,3259.8
Purchase at metro ticket,Expense,Transportation,6.06
pa#ypal refund deposit received,Income,Refunds,1481.0
Payment received: oliday reward,Income,Gift/Bonus,837.61
Bank credit from b2b invoice payment,Income,Business Revenue,4698.43
Purchase at meijer,Expense,Groceries,202.03
Credited from dividend credit,Income,Interest/Dividends,8690.71
lyft ride charge,Expense,Transportation,795.28
Bank credit from dividend credit,Income,Interest/Dividends,7891.29
paypal refund deposit received,Income,Refunds,4143.18
Credited from freelance gig,Income,Freelance,3090.99
Payment received: property lease payment,Income,Rent Income,2371.07
customer payment dposit received,Income,Business Revenue,1349.56
airbnb monthly bill,Expense,Travel,45.03
PaymEnT tO chEvROn,Expense,Transportation,495.97
CRedIted frOM nse retUr5n,Income,Investments,5677.94
Bank CREdit from salary From gooGlE,Income,Salary,9671.72
Payment to verizon,Expense,Utilities,17.96
Income via upwork payout,Income,Freelance,3500.39
PAymenT reCeIved: payPAL REFUnD,Income,Refunds,9004.42
makemytrip charge,Expense,Travel,15.8
Paid walmart grocery via card,Expense,Groceries,546.25
IncomE vIa customeR payMEnt,Income,Business Revenue,4555.62
Bp gAs - oRDer #9078,Expense,Transportation,289.83
bp gas charge,Expense,Transportation,154.71
pg&e bill transaction,Expense,Utilities,451.75
flipkart monthly bill,Expense,Shopping,497.92
publix monthly bill,Expense,Groceries,602.6
Purchase at2 parking garage,Expense,Transportation,997.26
Received customer payment,Income,Business Revenue,6544.92
verizon charge,Expense,Utilities,955.04
metro ticket transaction,Expense,Transportation,357.27
Bank credit from house ren1t,Income,Rent Income,3215.05
Paid verizon via card,Expense,Utilities,756.66
fd interest deposit received,Income,Interest/Dividends,2848.52
Credited fromcash prize,Income,Gift/Bonus,5268.01
shell oil - order #3562,Expense,Transportation,854.45
Received festival bonus,Income,Gift/Bonus,2913.98
Bank credit from online sale,Income,Business Revenue,5461.47
Income via office lease income,Income,Rent Income,4492.85
tRader Joe mOnThLy biLL,Expense,Groceries,787.81
PAYMent To makemYtrip,Expense,Travel,11.44
Income via credit card cashback,Income,Refunds,5522.26
paypal refund deposit received,Income,Refunds,7369.69
Received corporate payment,Income,Salary,5737.24
#Income via freelance gig,Income,Freelance,9406.19
gym members4hip monthly bill,Expense,Health & Medical,612.63
InCOmE VIa stORe DePoSIt,Income,Business Revenue,4754.93
best buy charge,Expense,Shopping,115.34
Credited from fiverr payment,Income,Freelance,5575.52
Paid kroger via card,Expense,Groceries,442.3
BanK credit from crEdit cArd CashBack,Income,Refunds,2451.93
grubhub transaction,Expense,Restaurants,447.77
cRyptO GaIN CReDiTed to accOunT,Income,Investments,4464.65
investment return credited to account,Income,Interest/Dividends,1028.15
Income via holiday reward,Income,Gift/Bonus,2585.72
Received contract project payment,Income,Freelance,9214.19
PAYment recEived: offICE Lease IncoME,Income,Rent Income,7756.75
Bank credit from salary from google,Income,Salary,5124.94
Income via office lease income,Income,Rent Income,4354.19
lyft ride transaction,Expense,Transportation,566.88
pg&e bill charge,Expense,Utilities,508.8
Purchase at ebay,Expense,Shopping,24.83
RecEIVed mutual Fund prOfit,Income,Investments,9645.25
kfc transaction,Expense,Restaurants,263.14
REceIved hOlIday reward,Income,Gift/Bonus,1554.71
Payment to grubhub,Expense,Restaurants,353.54
Credited from office lease income,Income,Rent Income,3539.63
cOsTco MontHly bill,Expense,Groceries,266.46
Payment to kroger,Expense,Groceries,712.41
store return refund credited to account,Income,Refunds,931.36
Paid grubhub via card,Expense,Restaurants,886.04
credit card cashback deposit received,Income,Refunds,8100.62
IncOmE vIA uPWork payout,Income,Freelance,5300.4
Income via investment return,Income,Interest/Dividends,7796.27
PaYment reCeIVeD: cuStomEr PAYmeNt,Income,Business Revenue,7811.6
Paid spectrum via card,Expense,Utilities,483.66
Credited from customer payment,Income,Business Revenue,6470.19
gym mEMberSHip C9Harge,Expense,Health & Medical,868.27
